               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083232,            0.028814,                   0,              0.4571,             0.35333,             0.37312,             0.11184,            0.021762,            0.013147,                   0,              0.0712,              0.0032,              0.0032
                   1,            0.043403,            0.020863,                   0,             0.28192,                0.38,             0.19876,            0.052858,            0.027741,           0.0078915,                   0,            0.041479,           0.0064785,           0.0064785
                   2,            0.042192,            0.016883,                   0,             0.80193,             0.53333,             0.61405,             0.16795,            0.020083,           0.0061544,                   0,            0.011735,           0.0097353,           0.0097353
                   3,            0.040494,            0.016531,                   0,             0.41525,              0.2888,             0.25456,            0.063881,            0.022144,           0.0071475,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.038499,            0.015007,                   0,             0.61829,                0.78,             0.68936,              0.2417,            0.016128,           0.0055223,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.038049,            0.015158,                   0,             0.87935,             0.83333,             0.89679,             0.49088,            0.011901,           0.0047914,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.031241,            0.013471,                   0,             0.81503,             0.77333,             0.84174,             0.45201,            0.011774,           0.0053328,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.030141,            0.013095,                   0,             0.93925,                0.92,             0.95012,             0.55071,            0.011337,           0.0045308,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.026559,            0.011656,                   0,             0.99325,                0.96,             0.99046,             0.63824,           0.0095103,           0.0043828,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.027739,            0.011843,                   0,             0.99105,                0.98,             0.99474,             0.75573,           0.0067993,           0.0030949,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.026558,            0.011819,                   0,             0.99529,             0.98667,             0.99449,             0.71181,           0.0069372,           0.0032334,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.027176,            0.011466,                   0,             0.99872,             0.98667,             0.99487,               0.668,             0.00852,           0.0035249,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.028053,            0.011166,                   0,             0.99852,             0.98667,             0.99468,             0.73745,           0.0071044,           0.0032185,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.020069,             0.01077,                   0,                   1,             0.99783,               0.995,             0.68242,           0.0083513,           0.0029691,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.025599,            0.010846,                   0,             0.99813,                   1,               0.995,             0.73451,           0.0075333,           0.0028595,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.025491,            0.010413,                   0,             0.99816,             0.99333,               0.995,             0.76107,           0.0060553,           0.0029696,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.019178,           0.0096362,                   0,                   1,             0.99224,               0.995,             0.79157,           0.0054395,           0.0028878,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.019669,            0.010113,                   0,              0.9986,             0.98667,             0.99493,             0.77242,           0.0065525,           0.0027104,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.02408,            0.010147,                   0,             0.99085,             0.98667,             0.99467,             0.76108,           0.0057778,            0.002819,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.021085,            0.010492,                   0,             0.99881,             0.99333,               0.995,             0.77258,           0.0060471,           0.0028908,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.024137,            0.010162,                   0,             0.99895,                   1,               0.995,             0.75486,           0.0072301,           0.0027749,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.026736,           0.0098321,                   0,                   1,             0.99895,               0.995,             0.79784,           0.0058396,           0.0026435,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.020057,           0.0093853,                   0,                   1,             0.99902,               0.995,             0.76431,           0.0064678,            0.002565,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.018905,           0.0092042,                   0,             0.99949,                   1,               0.995,             0.80347,           0.0055525,            0.002591,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.020034,           0.0089384,                   0,             0.99981,                   1,               0.995,             0.80144,           0.0053878,           0.0024967,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.021505,           0.0093133,                   0,             0.99939,                   1,               0.995,             0.78041,           0.0064181,           0.0025972,                   0,            0.009208,            0.009208,            0.009208
                  26,             0.02156,           0.0090563,                   0,             0.99864,                   1,               0.995,             0.80426,           0.0058003,           0.0026784,                   0,            0.009175,            0.009175,            0.009175
                  27,             0.01972,           0.0096465,                   0,             0.99902,                   1,               0.995,              0.8014,           0.0052331,           0.0027458,                   0,            0.009142,            0.009142,            0.009142
                  28,             0.02192,           0.0093457,                   0,             0.99952,                   1,               0.995,             0.76112,           0.0063121,            0.002696,                   0,            0.009109,            0.009109,            0.009109
                  29,             0.02208,           0.0090567,                   0,             0.99974,                   1,               0.995,             0.80266,           0.0054419,           0.0025038,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.018053,           0.0089995,                   0,                   1,             0.99986,               0.995,             0.80237,           0.0058258,           0.0025148,                   0,            0.009043,            0.009043,            0.009043
